projekt,slug,datei,ist,ratio,soll
Bergacker,bergacker-zurich-affoltern,artboard10-GSJCcQ-nQpn89.jpg,3000x977,3.07:1,3930x1280
Bergacker,bergacker-zurich-affoltern,artboard12-l79n3n-hzS3LK.jpg,3000x780,3.85:1,4923x1280
Bergacker,bergacker-zurich-affoltern,artboard13-ijfPgT-7f4Fcg.jpg,3000x850,3.53:1,4518x1280
"Hallenbad Tribschen",hallenbad-tribschen-29,029-ansicht-sud-tsCXoj-suTi4u.jpg,3000x1256,2.39:1,3057x1280
"Hallenbad Tribschen",hallenbad-tribschen-29,cam3-009-0DfcQs-b5iPzK.jpg,3000x1219,2.46:1,3150x1280
"Haus am See",haus-am-see-portalban,ansicht-ost-BdjSza-AtYxDU.jpg,3000x1103,2.72:1,3481x1280
"Haus am See",haus-am-see-portalban,ansicht-west-KXYQO1-V4glrt.jpg,3000x1101,2.72:1,3488x1280
"Haus am See",haus-am-see-portalban,grundriss-eg-HCxiHC-WtxVQA.jpg,3000x1134,2.65:1,3386x1280
"Haus am See",haus-am-see-portalban,langsschnitt-sud-FgbHUy-Im67oT.jpg,3000x1095,2.74:1,3507x1280
"Kindergarten Freie Waldorfschule",kindergarten-freie-waldorfschule-werder-ad-havel,ansicht-xcJZ0R-yKia5C.jpg,3000x1239,2.42:1,3099x1280
"Kindergarten Freie Waldorfschule",kindergarten-freie-waldorfschule-werder-ad-havel,schnitt-HExImj-X9QJjo.jpg,3000x1195,2.51:1,3213x1280
Quartiersentwicklung,quartiersentwicklung-berlin,afc-02-og-200-bearb-w7lvC1-o6Weyo.jpg,3000x1269,2.36:1,3026x1280
Quartiersentwicklung,quartiersentwicklung-berlin,afc-ansicht-ost-200-GN2mqW-okDMy6.jpg,3000x364,8.24:1,10549x1280
Quartiersentwicklung,quartiersentwicklung-berlin,afc-schnitt-ost-west-200-07-0Q4d69-W4D9ru.jpg,3000x318,9.43:1,12075x1280
Quartiersentwicklung,quartiersentwicklung-berlin,test-rahmen-sn-TuOarK-PuJC1A.jpg,3000x763,3.93:1,5033x1280
"Sanierung und Anpassungen ZHdK Gessnerallee",sanierung-und-anpassungen-zhdk-gessnerallee-257,257-ansicht-GEkPtS-bGUx5x.jpg,3000x972,3.09:1,3951x1280
"Sanierung und Anpassungen ZHdK Gessnerallee",sanierung-und-anpassungen-zhdk-gessnerallee-257,257-grundriss-eg-1H0ljh-AJwjgV.jpg,3000x972,3.09:1,3951x1280
"Sanierung und Anpassungen ZHdK Gessnerallee",sanierung-und-anpassungen-zhdk-gessnerallee-257,257-grundriss-og-Sv9vG3-djp1z8.jpg,3000x972,3.09:1,3951x1280
"Sanierung und Anpassungen ZHdK Gessnerallee",sanierung-und-anpassungen-zhdk-gessnerallee-257,257-langsschnitt-esJn4v-wkUuli.jpg,3000x972,3.09:1,3951x1280
"Wohnüberbauung Freilager Albisrieden",wohnuberbauung-freilager-albisrieden-187,187-schnitt-ansicht-3g1h4Q-I8wYlC.jpg,3000x1264,2.37:1,3038x1280
"sue & til - Neustadt aus Holz",sue-til-neustadt-aus-holz-winterthur,schnitt-RjSN7E-QymFLB.jpg,3000x596,5.03:1,6443x1280
